encoded_affiliate	affiliate_id
JLQXQD4G	270001
JLR11ZPM	270002
JLR29KBS	270003
JLR3K5Z1	270004
JLR4SQK6	270005
JLR64C6C	270006
JLR7CXRJ	270007
JLR8MJDP	270008
JLR9X51W	270009
JLRC6PM3	270010
JLRDGB88	270011
JLRFPWTF	270012
JLRH1HGL	270013
JLRJ943R	270014
JLRKJNNZ	270015
JLRLS9B5	270016
JLRN3TXB	270017
JLRPCGJH	270018
JLRQM35N	270019
JLRRWMQT	270020
JLRT68D2	270021
JLRWFT17	270022
JLRXPFLD	270023
JLS1127K	270024
JLS28LSQ	270025
JLS3J7FX	270026
JLS4RS34	270027
JLS63DN9	270028
JLS7C19G	270029
JLS8LKWM	270030
JLS9W6HS	270031
JLSC5R51	270032
JLSDFCQ6	270033
JLSFNZCC	270034
JLSGZJZJ	270035
JLSJ85KP	270036
JLSKHQ6W	270037
JLSLRBS3	270038
JLSN2XF8	270039
JLSPBJ2F	270040
JLSQL4ML	270041
JLSRTP8R	270042
JLST59TZ	270043
JLSWDWH5	270044
JLSXNH4B	270045
JLSZZ3PH	270046
JLT27NBN	270047
JLT3H8XT	270048
JLT4QTK2	270049
JLT62G67	270050
JLT7B2RD	270051
JLT8KMDK	270052
JLT9T81Q	270053
JLTC4SLX	270054
JLTDDF84	270055
JLTFN1T9	270056
JLTGXLGG	270057
JLTJ773M	270058
JLTKGRNS	270059
JLTLQDB1	270060
JLTN1ZX6	270061
JLTP9KJC	270062
JLTQK65J	270063
JLTRSQQP	270064
JLTT4CCW	270065
JLTWCZ13	270066
JLTXMJL8	270067
JLTZX57F	270068
JLW26PSL	270069
JLW3GBFR	270070
JLW4PX2Z	270071
JLW61HN5	270072
JLW7949B	270073
JLW8JNWH	270074
JLW9S9HN	270075
JLWC3W4T	270076
JLWDCGQ2	270077
JLWFM3C7	270078
JLWGWMZD	270079
JLWJ68KK	270080
JLWKFT6Q	270081
JLWLPFRX	270082
JLWN12F4	270083
JLWP8M29	270084
JLWQJ7MG	270085
JLWRRS8M	270086
JLWT3DTS	270087
JLWWC1H1	270088
JLWXLL46	270089
JLWZW6PC	270090
JLX25RBJ	270091
JLX3FCXP	270092
JLX4NZJW	270093
JLX5ZK63	270094
JLX785R8	270095
JLX8HQDF	270096
JLX9RC1L	270097
JLXC2XLR	270098
JLXDBJ7Z	270099
JLXFL4T5	270100
JLXGTPGB	270101
JLXJ5B3H	270102
JLXKDWNN	270103
JLXLNH9T	270104
JLXMZ3X2	270105
JLXP7NJ7	270106
JLXQH95D	270107
JLXRQTQK	270108
JLXT2GCQ	270109
JLXWB2ZX	270110
JLXXKML4	270111
JLXZT879	270112
JLZ24SSG	270113
JLZ3DFFM	270114
JLZ4N22S	270115
JLZ5XLN1	270116
JLZ77796	270117
JLZ8GRWC	270118
JLZ9QDHJ	270119
JLZC214P	270120
JLZD9KPW	270121
JLZFK6C3	270122
JLZGSQZ8	270123
JLZJ4CKF	270124
JLZKCZ6L	270125
JLZLMJRR	270126
JLZMX5DZ	270127
JLZP6Q25	270128
JLZQGBMB	270129
JLZRPX8H	270130
JLZT1HTN	270131
JLZW94GT	270132
JLZXJP42	270133
JLZZS9P7	270134
JM123WBD	270135
JM13CGXK	270136
JM14M3JQ	270137
JM15WN5X	270138
JM1768R4	270139
JM18FTD9	270140
JM19PG1G	270141
JM1C12LM	270142
JM1D8M7S	270143
JM1FJ7T1	270144
JM1GRSG6	270145
JM1J3F3C	270146
JM1KC1NJ	270147
JM1LLL9P	270148
JM1MW6WW	270149
JM1P5RJ3	270150
JM1QFD58	270151
JM1RNZQF	270152
JM1SZKCL	270153
JM1W85ZR	270154
JM1XHQKZ	270155
JM1ZRC75	270156
JM222XSB	270157
JM23BJFH	270158
JM24L52N	270159
JM25TPMT	270160
JM275B92	270161
JM28DWW7	270162
JM29NHHD	270163
JM2BZ44K	270164
JM2D7NPQ	270165
JM2FH9BX	270166
JM2GQTZ4	270167
JM2J2GK9	270168
JM2KB36G	270169
JM2LKMRM	270170
JM2MT8DS	270171
JM2P4T21	270172
JM2QDFM6	270173
JM2RN28C	270174
JM2SXLTJ	270175
JM2W77GP	270176
JM2XGS3W	270177
JM2ZQDP3	270178
JM3221B8	270179
JM339KXF	270180
JM34K6JL	270181
JM35SR5R	270182
JM374CQZ	270183
JM38CZD5	270184
JM39MK1B	270185
JM3BX5LH	270186
JM3D6Q7N	270187
JM3FGBST	270188
JM3GPXG2	270189
JM3J1J37	270190
JM3K94ND	270191
JM3LJP9K	270192
JM3MS9WQ	270193
JM3P3WHX	270194
JM3QCH54	270195
JM3RM3Q9	270196
JM3SWNCG	270197
JM3W68ZM	270198
JM3XFTKS	270199
JM3ZPG71	270200
JM4212S6	270201
JM438MFC	270202
JM44J82J	270203
JM45RSMP	270204
JM473F8W	270205
JM48C1W3	270206
JM49LLH8	270207
JM4BW74F	270208
JM4D5RPL	270209
JM4FFDBR	270210
JM4GNZXZ	270211
JM4HZKK5	270212
JM4K866B	270213
JM4LHQRH	270214
JM4MRCDN	270215
JM4P2Z1T	270216
JM4QBJM2	270217
JM4RL587	270218
JM4STPTD	270219
JM4W5BGK	270220
JM4XDX3Q	270221
JM4ZNHNX	270222
JM51Z4B4	270223
JM537NX9	270224
JM54H9JG	270225
JM55QW5M	270226
JM572GQS	270227
JM58B3D1	270228
JM59KN16	270229
JM5BT8LC	270230
JM5D4T7J	270231
JM5FDFSP	270232
JM5GN2FW	270233
JM5HXM33	270234
JM5K77N8	270235
JM5LGS9F	270236
JM5MQDWL	270237
JM5P21HR	270238
JM5Q9L4Z	270239
JM5RK6Q5	270240
JM5SSRCB	270241
JM5W4CZH	270242
JM5XCZKN	270243
JM5ZMK6T	270244
JM61X5S2	270245
JM636QF7	270246
JM64GC2D	270247
JM65PXMK	270248
JM671J8Q	270249
JM6894TX	270250
JM69JPH4	270251
JM6BSB49	270252
JM6D3WPG	270253
JM6FCHBM	270254
JM6GM3XS	270255
JM6HWNK1	270256
JM6K6966	270257
JM6LFTRC	270258
JM6MPGDJ	270259
JM6P131P	270260
JM6Q8MLW	270261
JM6RJ883	270262
JM6SRST8	270263
JM6W3FGF	270264
JM6XC23L	270265
JM6ZLLNR	270266
JM71W79Z	270267
JM735RX5	270268
JM74FDJB	270269
JM75P15H	270270
JM76ZKQN	270271
JM7886CT	270272
JM79HR12	270273
JM7BRCL7	270274
JM7D2Z7D	270275
JM7FBJSK	270276
JM7GL5FQ	270277
JM7HTQ2X	270278
JM7K5BN4	270279
JM7LDX99	270280
JM7MNHWG	270281
JM7NZ4HM	270282
JM7Q7P4S	270283
JM7RH9Q1	270284
JM7SQWC6	270285
JM7W2GZC	270286
JM7XB3KJ	270287
JM7ZKN6P	270288
JM81T8RW	270289
JM834TF3	270290
JM84DG28	270291
JM85N2MF	270292
JM86XM8L	270293
JM8877TR	270294
JM89GSGZ	270295
JM8BQF45	270296
JM8D21PB	270297
JM8F9LBH	270298
JM8GK6XN	270299
JM8HSRJT	270300
JM8K4D62	270301
JM8LCZR7	270302
JM8MMKDD	270303
JM8NX61K	270304
JM8Q6QLQ	270305
JM8RGC7X	270306
JM8SPXT4	270307
JM8W1JG9	270308
JM8X953G	270309
JM8ZJPNM	270310
JM91SB9S	270311
JM933WX1	270312
JM94CHJ6	270313
JM95M45C	270314
JM96WNQJ	270315
JM9869CP	270316
JM99FTZW	270317
JM9BPGL3	270318
JM9D1378	270319
JM9F8MSF	270320
JM9GJ8FL	270321
JM9HRT2R	270322
JM9K3FMZ	270323
JM9LC295	270324
JM9MLLWB	270325
JM9NW7HH	270326
JM9Q5S4N	270327
JM9RFDPT	270328
JM9SP1C2	270329
JM9TZKZ7	270330
JM9X86KD	270331
JM9ZHR6K	270332
JMB1RCRQ	270333
JMB32ZDX	270334
JMB4BK24	270335
JMB5L5M9	270336
JMB6TQ8G	270337
JMB85BTM	270338
JMB9DXGS	270339
JMBBNJ41	270340
JMBCZ4P6	270341
JMBF7PBC	270342
JMBGH9XJ	270343
JMBHQWJP	270344
JMBK2H5W	270345
JMBLB3R3	270346
JMBMKND8	270347
JMBNT91F	270348
JMBQ4TLL	270349
JMBRDG7R	270350
JMBSN2SZ	270351
JMBTXMG5	270352
JMBX783B	270353
JMBZGSNH	270354
JMC1QF9N	270355
JMC321WT	270356
JMC49LJ2	270357
JMC5K757	270358
JMC6SRQD	270359
JMC84DCK	270360
JMC9CZZQ	270361
JMCBMKKX	270362
JMCCX674	270363
JMCF6QS9	270364
JMCGGCFG	270365
JMCHPZ2M	270366
JMCK1JMS	270367
JMCL9591	270368
JMCMJPW6	270369
JMCNSBHC	270370
JMCQ3X4J	270371
JMCRCHPP	270372
JMCSM4BW	270373
JMCTWNZ3	270374
JMCX69K8	270375
JMCZFW6F	270376
JMD1PGRL	270377
JMD313DR	270378
JMD48N1Z	270379
JMD5J8M5	270380
JMD6RT8B	270381
JMD83FTH	270382
JMD9C2GN	270383
JMDBLM3T	270384
JMDCW7P2	270385
JMDF5SB7	270386
JMDGFDXD	270387
JMDHP1JK	270388
JMDJZL5Q	270389
JMDL86QX	270390
JMDMHRD4	270391
JMDNRD19	270392
JMDQ2ZLG	270393
JMDRBK7M	270394
JMDSL5SS	270395
JMDTTQG1	270396
JMDX5C36	270397
JMDZDXNC	270398
JMF1NJ9J	270399
JMF2Z4WP	270400
JMF47PHW	270401
JMF5HB53	270402
JMF6QWQ8	270403
JMF82HCF	270404
JMF9B3ZL	270405
JMFBKNKR	270406
JMFCT96Z	270407
JMFF4TS5	270408
JMFGDGFB	270409
JMFHN32H	270410
JMFJXMMN	270411
JMFL788T	270412
JMFMGSW2	270413
JMFNQFH7	270414
JMFQ224D	270415
JMFR9LPK	270416
JMFSK7BQ	270417
JMFTSRXX	270418
JMFX4DK4	270419
JMFZD169	270420
JMG1MKRG	270421
JMG2X6DM	270422
JMG46R1S	270423
JMG5GCM1	270424
JMG6PZ86	270425
JMG81JTC	270426
JMG995GJ	270427
JMGBJQ3P	270428
JMGCSBNW	270429
JMGF3XB3	270430
JMGGCHX8	270431
JMGHM4JF	270432
JMGJWP5L	270433
JMGL69QR	270434
JMGMFWCZ	270435
JMGNPH15	270436
JMGQ13LB	270437
JMGR8N7H	270438
JMGSJ8SN	270439
JMGTRTFT	270440
JMGX3G32	270441
JMGZC2N7	270442
JMH1LM9D	270443
JMH2W7WK	270444
JMH45SHQ	270445
JMH5FF4X	270446
JMH6P1Q4	270447
JMH7ZLC9	270448
JMH986ZG	270449
