encoded_offer_id	offer_id
	0
2CTPL	1
3QQG7	2
55M6S	3
6JHXF	4
7XDN2	5
9B9DM	6
BP658	7
D42TT	8
FGXLG	9
GTSC3	10
J8P3N	11
KMKS9	12
M2GJW	13
NFC9H	14
PS824	15
R74QP	16
SL1HB	17
TZW7X	18
XCQZJ	19
ZQMP5	20
225JFQ	21
23JF6C	22
24X9WZ	23
26B6MK	24
27P3D6	25
293Z4R	26
2BGSTD	27
2CTPL1	28
2F8LBL	29
2GMH37	30
2J2CRS	31
2KF8JF	32
2LS592	33
2N721M	34
2PKWQ8	35
2QZRGT	36
2SCN7G	37
2TQJZ3	38
2X5FNN	39
2ZJBF9	40
31X75W	41
33B3WH	42
34NZM4	43
363TCP	44
37GQ4B	45
38TLSX	46
3B8HKJ	47
3CMDB5	48
3F292Q	49
3GF5RC	50
3HS2HZ	51
3K6X8K	52
3LKS16	53
3MZNPR	54
3PCKGD	55
3QQG71	56
3S5BXL	57
3TJ7N7	58
3WX4DS	59
3ZB15F	60
41NTW2	61
433QLM	62
44GMC8	63
45TJ3T	64
478DSG	65
48M9K3	66
4B269N	67
4CF329	68
4DRXQW	69
4G6SHH	70
4HKP84	71
4JZKZP	72
4LCGPB	73
4MQCFX	74
4P586J	75
4QJ4X5	76
4RX1MQ	77
4T9WDC	78
4WNR4Z	79
4Z3MTK	80
51GJL6	81
52TFBR	82
548B3D	83
55M6S1	84
5723JL	85
58DZ97	86
59RT1S	87
5C6PQF	88
5DKLH2	89
5FZH7M	90
5HCCZ8	91
5JQ8NT	92
5L55FG	93
5MJ263	94
5NWWWN	95
5Q9RM9	96
5RNNCW	97
5T3K4H	98
5WGFT4	99
5XTBKP	100
6187BB	101
62M42X	102
641ZRJ	103
65DTJ5	104
66RQ8Q	105
686M1C	106
69KHPZ	107
6BZDGK	108
6DC976	109
6FQ5XR	110
6H52ND	111
6JHXF1	112
6KWS5L	113
6M9NW7	114
6NNKLS	115
6Q3GCF	116
6RGC42	117
6ST7SM	118
6W84K8	119
6XM19T	120
711W2G	121
72DQR3	122
73RMHN	123
756J89	124
76KDZW	125
77Z9PH	126
79C6G4	127
7BQ36P	128
7D4XXB	129
7FHSMX	130
7GWPDJ	131
7J9L55	132
7KNGTQ	133
7M3CLC	134
7NG8BZ	135
7PT53K	136
7R81S6	137
7SLWJR	138
7W1R9D	139
7XDN21	140
7ZRJQL	141
826FH7	142
83KB7S	143
84Z6ZF	144
86C3P2	145
87PZFM	146
894T68	147
8BHPWT	148
8CWLMG	149
8F9HD3	150
8GND4N	151
8J38T9	152
8KG5KW	153
8LT2BH	154
8N7X34	155
8PLRRP	156
8R1NJB	157
8SDK8X	158
8TRG1J	159
8X6BQ5	160
8ZK7GQ	161
91Z47C	162
93BZXZ	163
94PTNK	164
964QF6	165
97HM5R	166
98WHWD	167
9B9DM1	168
9CN9CL	169
9F3647	170
9GG2SS	171
9HSXKF	172
9K7SB2	173
9LLP2M	174
9N1KR8	175
9PDGHT	176
9QRC8G	177
